SampleID	NIJ-001A	NIJ-001B	NIJ-002A	NIJ-002B	NIJ-003A	NIJ-003B	NIJ-004A	NIJ-004B	NIJ-005A	NIJ-005B	NIJ-006A	NIJ-006B	NIJ-007A	NIJ-007B	NIJ-008A	NIJ-008B	NIJ-009A	NIJ-009B	NIJ-010A	NIJ-010B	NIJ-011A	NIJ-011B	NIJ-012A	NIJ-012B	NIJ-013A	NIJ-013B	NIJ-014A	NIJ-014B	NIJ-015A	NIJ-015B	NIJ-016A	NIJ-016B	NIJ-017A	NIJ-017B	NIJ-018A	NIJ-018B	NIJ-019A	NIJ-019B	NIJ-020A	NIJ-020B	NIJ-021A	NIJ-021B	NIJ-022A	NIJ-022B	NIJ-023A	NIJ-023B	NIJ-024A	NIJ-024B	NIJ-025A	NIJ-025B	NIJ-026A	NIJ-026B	NIJ-027A	NIJ-027B	NIJ-028A	NIJ-028B	NIJ-029A	NIJ-029B	NIJ-030A	NIJ-030B	NIJ-031A	NIJ-031B	NIJ-032A	NIJ-032B	NIJ-033A	NIJ-033B	NIJ-034A	NIJ-034B	NIJ-035A	NIJ-035B	NIJ-036A	NIJ-036B	NIJ-037A	NIJ-037B	NIJ-038A	NIJ-038B	NIJ-039A	NIJ-039B	NIJ-040A	NIJ-040B	NIJ-041A	NIJ-041B	NIJ-042A	NIJ-042B	NIJ-043A	NIJ-043B	NIJ-044A	NIJ-044B	NIJ-045A	NIJ-045B	NIJ-046A	NIJ-046B	NIJ-047A	NIJ-047B	NIJ-048A	NIJ-048B	NIJ-049A	NIJ-049B	NIJ-050A	NIJ-050B	NIJ-051A	NIJ-051B	NIJ-052A	NIJ-052B	NIJ-053A	NIJ-053B	NIJ-054A	NIJ-054B	NIJ-055A	NIJ-055B	NIJ-056A	NIJ-056B	NIJ-057A	NIJ-057B	NIJ-058A	NIJ-058B	NIJ-059A	NIJ-059B	NIJ-060A	NIJ-060B	NIJ-061A	NIJ-061B	NIJ-062A	NIJ-062B	NIJ-063A	NIJ-063B	NIJ-064A	NIJ-064B	NIJ-065A	NIJ-065B	NIJ-066A	NIJ-066B	NIJ-067A	NIJ-067B	NIJ-068A	NIJ-068B	NIJ-069A	NIJ-069B	NIJ-070A	NIJ-070B	NIJ-071A	NIJ-071B	NIJ-072A	NIJ-072B	NIJ-073A	NIJ-073B	NIJ-074A	NIJ-074B	NIJ-075A	NIJ-075B	NIJ-076A	NIJ-076B	NIJ-077A	NIJ-077B	NIJ-078A	NIJ-078B	NIJ-079A	NIJ-079B	NIJ-080A	NIJ-080B	NIJ-081A	NIJ-081B	NIJ-082A	NIJ-082B	NIJ-083A	NIJ-083B	NIJ-084A	NIJ-084B	NIJ-085A	NIJ-085B	NIJ-086A	NIJ-086B	NIJ-087A	NIJ-087B	NIJ-088A	NIJ-088B	NIJ-089A	NIJ-089B	NIJ-090A	NIJ-090B	NIJ-091A	NIJ-091B	NIJ-092A	NIJ-092B	NIJ-093A	NIJ-093B	NIJ-094A	NIJ-094B	NIJ-095A	NIJ-095B	NIJ-096A	NIJ-096B	NIJ-097A	NIJ-097B	NIJ-098A	NIJ-098B	NIJ-099A	NIJ-099B	NIJ-100A	NIJ-100B
3eb1051e830d70631869ef6cdf4cc22e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91f09af692f6c371b3502da0917d8473	11	21	22	0	12	13	11	33	21	36	6	11	28	15	11	38	16	0	28	14	19	13	13	22	6	3	0	11	19	0	0	4	33	22	65	56	30	19	7	24	37	10	11	18	42	11	10	4	16	28	7	17	23	14	0	19	24	76	27	29	29	25	30	35	13	0	8	11	4	10	7	18	21	32	22	70	27	40	23	48	0	0	27	12	10	12	0	27	7	0	10	7	5	10	22	15	33	37	21	17	0	0	18	48	55	51	81	13	52	40	34	37	16	14	0	9	25	0	14	15	24	13	0	16	6	39	26	13	17	15	21	30	10	14	22	25	17	12	24	9	19	13	13	17	19	16	16	40	21	6	0	3	32	0	24	28	70	6	34	25	24	25	7	10	16	8	0	14	6	20	8	25	18	22	17	18	17	16	3	4	8	29	8	11	21	22	28	77	8	6	26	21	26	11	46	31	14	23	45	42
03ac5104d339c3b4bdb625b001364291	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
647293c14347aaf7ecf2f03d636f8854	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8f5f63de9b32ab08ae7c5483ea1aee4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cdac4e00b1cc4f7b9e9732a9d6bef4d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c94a0c06b4e3429b9ff194705356d73	4	6	6	0	30	303	4	120	21	1203	0	3	175	201	4	1978	276	171	471	137	641	226	61	16	399	275	174	1172	1095	665	57	36	3921	2243	30307	29563	117	13038	5055	5829	526	175	596	14	377	0	0	0	80	63	15	21	9	5	0	228	0	12	4	18	6	3	20	0	91	188	10	36	10	107	0	11	177	185	381	2902	144	119	227	1502	181	9	0	89	289	26	0	704	9	0	0	88	77	398	0	225	718	1179	65	1113	10	0	835	5956	17888	11357	23243	11190	21930	15208	4974	4626	12	65	25	64	0	0	0	217	7163	13557	293	8800	1727	21858	32797	56747	27136	19042	38154	46962	1642	5275	10240	17027	389	1251	283	402	10	0	5	193	70	0	541	465	94	0	47	253	812	304	3111	5049	972	17	6103	3280	13	48	4	38	7	11	6	271	1329	14266	229	12162	8402	3328	84	1466	1017	116	0	686	0	14	7	11	14	274	14	479	0	0	162	483	0	42	2369	1352	6	10	0	190
c32e032508f6007701242c7d08830a87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9aa32449e3f638cd49b469edc522c9f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2a50bb6f1c0d69048b6de7f089d2e640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8	488	6	1034	1654	193	1196	1551	114	68	0	16	397	0	65	465	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
