k,hit_rate,model,condition
1,0.56,benzonase,benzonase
2,0.62,benzonase,benzonase
3,0.74,benzonase,benzonase
4,0.8,benzonase,benzonase
5,0.84,benzonase,benzonase
6,0.88,benzonase,benzonase
7,0.9,benzonase,benzonase
8,0.9,benzonase,benzonase
9,0.9,benzonase,benzonase
10,0.94,benzonase,benzonase
11,0.94,benzonase,benzonase
12,0.94,benzonase,benzonase
13,0.94,benzonase,benzonase
14,0.94,benzonase,benzonase
15,0.96,benzonase,benzonase
16,0.96,benzonase,benzonase
17,0.96,benzonase,benzonase
18,0.96,benzonase,benzonase
19,0.98,benzonase,benzonase
20,1.0,benzonase,benzonase
21,1.0,benzonase,benzonase
22,1.0,benzonase,benzonase
23,1.0,benzonase,benzonase
24,1.0,benzonase,benzonase
25,1.0,benzonase,benzonase
