k,hit_rate,model,condition
1,0.62,control,control
2,0.82,control,control
3,0.86,control,control
4,0.88,control,control
5,0.9,control,control
6,0.9,control,control
7,0.94,control,control
8,0.94,control,control
9,0.96,control,control
10,0.98,control,control
11,0.98,control,control
12,0.98,control,control
13,1.0,control,control
14,1.0,control,control
15,1.0,control,control
16,1.0,control,control
17,1.0,control,control
18,1.0,control,control
19,1.0,control,control
20,1.0,control,control
21,1.0,control,control
22,1.0,control,control
23,1.0,control,control
24,1.0,control,control
25,1.0,control,control
