k,hit_rate,model,condition
1,0.42,control,benzonase
2,0.58,control,benzonase
3,0.68,control,benzonase
4,0.74,control,benzonase
5,0.76,control,benzonase
6,0.76,control,benzonase
7,0.8,control,benzonase
8,0.8,control,benzonase
9,0.8,control,benzonase
10,0.84,control,benzonase
11,0.84,control,benzonase
12,0.84,control,benzonase
13,0.84,control,benzonase
14,0.84,control,benzonase
15,0.86,control,benzonase
16,0.9,control,benzonase
17,0.9,control,benzonase
18,0.92,control,benzonase
19,0.94,control,benzonase
20,0.94,control,benzonase
21,0.94,control,benzonase
22,0.94,control,benzonase
23,0.96,control,benzonase
24,1.0,control,benzonase
25,1.0,control,benzonase
